dataset_id,dataset_name,group_name,aliases
e5d79f4a-4c0b-4f79-b1f1-14670577b072,"American Community Survey (ACS)","USDA","Acs; American Community Survey; https://www.census.gov/programs-surveys/acs.html"
014dcfce-6f55-42bf-acf4-dce4876d459f,"Canadian Community Health Survey (CCHS)","USDA","Canadian Community Health Survey; CCHS"
48359339-7741-48e3-8b5a-2eee6472b8e0,"Current Population Survey (CPS)","USDA","Cps; Cps-asec; Current Pop. Survey; Current Population Survey; https://www.census.gov/programs-surveys/cps.html"
ef8132f3-692a-4224-b8c6-6e1580bac2ab,"Food and Nutrient Database for Dietary Studies (FNDDS)","USDA","Food and Nutrient Database for Dietary Studies; FNDDS; https://www.ars.usda.gov/northeast-area/beltsville-md-bhnrc/beltsville-human-nutrition-research-center/food-surveys-research-group/docs/fndds/"
36355db3-99cf-448f-9db9-519854327366,"Integrated Public Use Microdata Series Current Population Survey (IPUMS CPS)","USDA","Integrated Public Use Microdata Series Current Population Survey (ipums Cps); ipums cps; ipums-cps; https://cps.ipums.org/cps/"
cf4db038-ea56-4950-891b-13bab20393ad,"Social Vulnerability Index (SVI)","USDA","Social Vulnerability Index; SVI; https://www.atsdr.cdc.gov/place-health/php/svi/index.html; CDCSVI"
0ed1cde3-efc9-4360-b0dc-d0c1be212434,"American College Health Association - National College Health Assessment III (ACHA-NCHA III)","USDA","ACHA-NCHA III; ACHA-NCHA; NCHA III; NCHA-III; NCHA; National College Health Assessment; American College Health Association-National College Health Assessment"
4436c0e1-b990-42eb-8ecd-7945276b7589,"American Time Use Survey (ATUS)","USDA","American Time Use Survey; ATUS"
ec43816b-608c-4fe5-ac9f-6421e354d05e,"Behavioral Risk Factor Surveillance Survey Fruit and Vegetable Module (BRFSS FV module)","USDA","BRFSS Fruit and Vegetable Module; BRFSS FV Module; Behavioral Risk Factor Surveillance System Fruit and Vegetable Module; BRFSS Fruit and Vegetable; Behavioral Risk Factor Surveillance Survey Fruit and Vegetable Module"
f49af688-9ae5-47b7-a272-0b8b3e0493e3,"Feeding America Map the Meal Gap (MMG)","USDA","Map the Meal Gap; MMG; Feeding America Map the Meal Gap; Map the Meal Gap Study"
82129684-3373-46d2-addb-2f3491307c70,"Food Environment Atlas (USDA ERS)","USDA","Food Environment Atlas; USDA Food Environment Atlas; ERS Food Environment Atlas; FEA"
63fafd44-65e5-4a24-9260-4be7d2308e9e,"Fragile Families and Child Wellbeing Study","USDA","Fragile Families and Child Wellbeing Study; FFCWS; Future of Families and Child Wellbeing Study"
44e9a318-077a-449b-a67e-aeff88380d57,"Household Pulse Survey (Phase 1)","USDA","Household Pulse Survey; HPS; Census Household Pulse Survey; COVID-19 Household Pulse Survey; Pulse Survey"
a746c0da-378c-4aa8-8104-11942cf0aaa0,"National Health Interview Survey (NHIS)","USDA","National Health Interview Survey; NHIS"
c3f0e4c8-40a5-4edf-b9c1-d7948147ceb5,"RAND HRS Health Care and Nutrition Study (HCNS)","USDA","Health Care and Nutrition Study; HCNS; HRS Health Care and Nutrition Study; 2013 Health Care and Nutrition Study"
976101b5-dce5-46fb-8a2b-aea6d68cc4c5,"RAND HRS Longitudinal Dataset","USDA","RAND HRS Longitudinal File; RAND HRS; RAND HRS Data; RAND Health and Retirement Study; HRS RAND"
d91c7cfa-707c-49ca-8383-50b274807914,"University of Kentucky Center for Poverty Research National Welfare Data (UKCPR)","USDA","UKCPR National Welfare Data; National Welfare Data; UK Center for Poverty Research National Welfare Data; UKCPR Welfare Data"
e1fc1077-aba2-4fd5-9ac0-ca7130263304,"USDA 18-item Household Food Security Survey Module (HFSSM)","USDA","Household Food Security Survey Module; HFSSM; U.S. Household Food Security Survey Module; USDA Food Security Survey Module; 18-Item Food Security Survey Module; Food Security Survey Module"
