dataset_id,dataset_name,group_name,aliases
e5d79f4a-4c0b-4f79-b1f1-14670577b072,American Community Survey (ACS),USDA,Acs; American Community Survey; https://www.census.gov/programs-surveys/acs.html
48359339-7741-48e3-8b5a-2eee6472b8e0,Current Population Survey (CPS) ASEC & Food Security Supplement (FSS),USDA,Current Population Survey (CPS); Cps; Cps-asec; Current Pop. Survey; Current Population Survey; https://www.census.gov/programs-surveys/cps.html
014dcfce-6f55-42bf-acf4-dce4876d459f,Canadian Community Health Survey (CCHS),USDA,Canadian Community Health Survey; CCHS
ef8132f3-692a-4224-b8c6-6e1580bac2ab,Food and Nutrient Database for Dietary Studies (FNDDS),USDA,Food and Nutrient Database for Dietary Studies; FNDDS; https://www.ars.usda.gov/northeast-area/beltsville-md-bhnrc/beltsville-human-nutrition-research-center/food-surveys-research-group/docs/fndds/
cf4db038-ea56-4950-891b-13bab20393ad,CDC/ATSDR Social Vulnerability Index (SVI),USDA,Social Vulnerability Index (SVI); Social Vulnerability Index; SVI; https://www.atsdr.cdc.gov/place-health/php/svi/index.html; CDCSVI
a746c0da-378c-4aa8-8104-11942cf0aaa0,National Health Interview Survey (NHIS),USDA,National Health Interview Survey; NHIS
4436c0e1-b990-42eb-8ecd-7945276b7589,American Time Use Survey (ATUS),USDA,American Time Use Survey; ATUS
ec43816b-608c-4fe5-ac9f-6421e354d05e,Behavioral Risk Factor Surveillance System (BRFSS) Fruit and Vegetable Module,USDA,Behavioral Risk Factor Surveillance Survey Fruit and Vegetable Module (BRFSS FV module); BRFSS Fruit and Vegetable Module; BRFSS FV Module; Behavioral Risk Factor Surveillance System Fruit and Vegetable Module; BRFSS Fruit and Vegetable; Behavioral Risk Factor Surveillance Survey Fruit and Vegetable Module
82129684-3373-46d2-addb-2f3491307c70,Food Environment Atlas,USDA,Food Environment Atlas (USDA ERS); Food Environment Atlas; USDA Food Environment Atlas; ERS Food Environment Atlas; FEA
63fafd44-65e5-4a24-9260-4be7d2308e9e,Future of Families and Child Wellbeing Study (FFCWS),USDA,Fragile Families and Child Wellbeing Study; FFCWS; Future of Families and Child Wellbeing Study
44e9a318-077a-449b-a67e-aeff88380d57,Household Pulse Survey (Phase 1),USDA,Household Pulse Survey; HPS; Census Household Pulse Survey; COVID-19 Household Pulse Survey; Pulse Survey
d91c7cfa-707c-49ca-8383-50b274807914,UKCPR National Welfare Data,USDA,University of Kentucky Center for Poverty Research National Welfare Data (UKCPR); UKCPR National Welfare Data; National Welfare Data; UK Center for Poverty Research National Welfare Data; UKCPR Welfare Data
0ed1cde3-efc9-4360-b0dc-d0c1be212434,National College Health Assessment (NCHA),USDA,American College Health Association - National College Health Assessment III (ACHA-NCHA III); ACHA-NCHA III; ACHA-NCHA; NCHA III; NCHA-III; NCHA; National College Health Assessment; American College Health Association-National College Health Assessment
f49af688-9ae5-47b7-a272-0b8b3e0493e3,Feeding America Map the Meal Gap (MMG),USDA,Map the Meal Gap; MMG; Feeding America Map the Meal Gap; Map the Meal Gap Study
c3f0e4c8-40a5-4edf-b9c1-d7948147ceb5,2013 Health Care and Nutrition Study (HCNS),USDA,RAND HRS Health Care and Nutrition Study (HCNS); Health Care and Nutrition Study; HCNS; HRS Health Care and Nutrition Study; 2013 Health Care and Nutrition Study
976101b5-dce5-46fb-8a2b-aea6d68cc4c5,RAND HRS Longitudinal File,USDA,RAND HRS Longitudinal Dataset; RAND HRS Longitudinal File; RAND HRS; RAND HRS Data; RAND Health and Retirement Study; HRS RAND
