dataset_id,dataset_name,alias,group_name
6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,NASS Census of Agriculture,Agricultural and Food Security Data
6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,Census of Agriculture,Agricultural and Food Security Data
6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,USDA Census of Agriculture,Agricultural and Food Security Data
6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,Agricultural Census,Agricultural and Food Security Data
6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,USDA Census,Agricultural and Food Security Data
6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,AG Census,Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Agricultural Resource Management Survey (ARMS),Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),ARMS Farm Financial and Crop Production Practices,Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Agricultural Resource Management Survey,Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Agricultural Resources Management Survey,Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Farm Financial and Crop Production Practices (ERS),Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Farm Income and Financial Forecast (ERS),Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Farm Household Income and Characteristics (ERS),Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Farm Income and Wealth Statistics (ERS),Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Farm Production Expenditures (NASS),Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Agricultural Resource Management Study,Agricultural and Food Security Data
2b53abaf-8d39-4a2c-ac04-980a106e3f59,Agricultural Resource Management Survey (ARMS),Agricultural Resources Management Study,Agricultural and Food Security Data
8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),Food Access Research Atlas (FARA),Agricultural and Food Security Data
8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),Food Access Research Atlas,Agricultural and Food Security Data
9c8159cd-47f9-49f6-966e-1f996b977d63,Food Acquisition and Purchase Survey (FoodAPS),Food Acquisition and Purchase Survey (FoodAPS),Agricultural and Food Security Data
9c8159cd-47f9-49f6-966e-1f996b977d63,Food Acquisition and Purchase Survey (FoodAPS),food acquisition and purchase survey,Agricultural and Food Security Data
9c8159cd-47f9-49f6-966e-1f996b977d63,Food Acquisition and Purchase Survey (FoodAPS),FoodAPS,Agricultural and Food Security Data
361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),Household Food Security Survey Module (HFSSM),Agricultural and Food Security Data
361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),Household Food Security Survey Module,Agricultural and Food Security Data
