publication_id,publication_title,publication_doi,validated_dataset_id,validated_dataset_name,is_mentioned,is_used,validation_reasoning
pub.1000422164,Health-Related Quality of Life of Food-Insecure Ethnic Minority Patients With Cancer,10.1200/jop.2015.003962,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly names the USDA Core Food Security Module (the 18‑item HFSSM) and states it was used to assess food security for all participants, with subsequent categorisation into food‑secure, low‑food‑security, and very‑low‑food‑security groups and statistical analysis of those categories."
pub.1001345478,Severity of household food insecurity and lifetime racial discrimination among African-American households in South Carolina,10.1080/13557858.2016.1263286,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that the HFSSM was the instrument used to measure the dependent variable (food‑security status) and describes scoring, recall period, and item count, indicating it was applied to the study sample and the results are based on it."
pub.1001749726,The State of Family Farms in the World,10.1016/j.worlddev.2015.05.012,6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,true,false,"The exact phrase “Census of agriculture” (an alias of the NASS Census of Agriculture) appears in the reference list, indicating the work cites the dataset. However, the paper does not provide any methodological description, analysis, or results that explicitly state the NASS Census of Agriculture was used as a data source for the study’s empirical work. The analysis relies on a broad collection of global agricultural census data, but the US NASS census is not singled out as a dataset that was processed or analyzed."
pub.1003205614,Material Hardship and Internal Locus of Control Over the Prevention of Child Obesity in Low-Income Hispanic Pregnant Women,10.1016/j.acap.2016.02.003,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),false,false,"The paper refers to ""Household food insecurity"" and the ""Core Food Security Module"" from USDA, but it never uses the exact name or listed aliases of the HFSSM. Without an explicit mention, the dataset cannot be considered referenced."
pub.1003394995,Household food insecurity during childhood and adolescent misconduct,10.1016/j.ypmed.2016.12.042,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly names the HFSSM instrument and states that it was used to assess household food insecurity in multiple waves of the ECLS‑K data. The derived food‑insecurity measures are then employed in the logistic and negative binomial regressions, indicating genuine usage."
pub.1003449352,Effects of Group Prenatal Care on Food Insecurity during Late Pregnancy and Early Postpartum,10.1007/s10995-015-1886-8,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly names the Household Food Security Survey Module (HFSSM) and describes collecting responses to its items, then uses those responses to compute food‑security status and conduct logistic regression analyses. This demonstrates genuine utilization of the instrument’s data."
pub.1004806015,The San Francisco Chinese Food Security Module: Validation of a Translation of the US Household Food Security Survey Module,10.1080/19320248.2014.962776,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,true,"The paper explicitly names the CPS Food Security Supplement and uses its published item parameters as a benchmark to evaluate the severity and discrimination of the translated Chinese module, indicating direct comparative analysis."
pub.1004806015,The San Francisco Chinese Food Security Module: Validation of a Translation of the US Household Food Security Survey Module,10.1080/19320248.2014.962776,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The HFSSM is cited as the source instrument that was translated and administered to the study participants; the authors base their validation work on data collected using this translated version, showing active use of the HFSSM framework."
pub.1005169456,Latinos With Diabetes and Food Insecurity in an Agricultural Community,10.1097/mlr.0000000000000348,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that food insecurity – the main exposure variable – was measured with the short form of the USDA HFSSM, and this measurement is used throughout the analysis and results."
pub.1005464936,Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review,10.1016/j.amepre.2015.04.035,9c8159cd-47f9-49f6-966e-1f996b977d63,Food Acquisition and Purchase Survey (FoodAPS),true,false,"FoodAPS is mentioned as a potential data source for future research, but the current systematic review does not use it for any analysis."
