publication_id,publication_title,publication_doi,new_name,new_is_mentioned,new_is_used,new_description,new_source,new_domain
pub.1000422164,Health-Related Quality of Life of Food-Insecure Ethnic Minority Patients With Cancer,10.1200/jop.2015.003962,Cancer Portal Project Cohort Dataset,true,true,"A prospective, longitudinal multisite cohort of ethnic minority cancer patients recruited from ten safety‑net cancer clinics in New York City, with collected survey data on demographics, health, quality of life, and food security.",Cancer Portal Project (multiple NYC cancer clinics and hospitals),Oncology / Health Services Research
pub.1001749726,The State of Family Farms in the World,10.1016/j.worlddev.2015.05.012,FAOSTAT Food Balance Sheets,false,false,"FAOSTAT Food Balance Sheets provide annual data on national food production, imports, exports, consumption, and utilization across multiple commodity categories.",Food and Agriculture Organization of the United Nations (FAO),Agricultural Production / Nutrition
pub.1001749726,The State of Family Farms in the World,10.1016/j.worlddev.2015.05.012,World Bank Agricultural Value Added (% of GDP),false,false,World Bank indicator providing the share of agricultural sector's value added in national GDP.,World Bank Development Indicators,Economic / Agricultural Economics
pub.1001749726,The State of Family Farms in the World,10.1016/j.worlddev.2015.05.012,UNDP Human Development Index (HDI),false,false,"UNDP’s composite index measuring health, education, and income dimensions across countries.",United Nations Development Programme (UNDP),Socio‑economic / Development
pub.1001749726,The State of Family Farms in the World,10.1016/j.worlddev.2015.05.012,Stationery Office Census of Agriculture 2010 – Final Results,false,false,National agricultural census data published by a governmental office (likely UK or related jurisdiction) for the year 2010.,Stationery Office (government publishing agency),Agriculture / Census
pub.1003394995,Household food insecurity during childhood and adolescent misconduct,10.1016/j.ypmed.2016.12.042,"Early Childhood Longitudinal Study, Kindergarten Class of 1998-1999 (ECLS-K)",true,true,"A longitudinal, nationally representative survey of over 21,000 U.S. children that follows participants from kindergarten through early adolescence.",National Center for Education Statistics (NCES),Education / Child Development
pub.1003449352,Effects of Group Prenatal Care on Food Insecurity during Late Pregnancy and Early Postpartum,10.1007/s10995-015-1886-8,2012 United States Census data,true,true,Official decennial census data providing demographic and geographic information for U.S. census tracts.,U.S. Census Bureau,Demography / Geography
pub.1004806015,The San Francisco Chinese Food Security Module: Validation of a Translation of the US Household Food Security Survey Module,10.1080/19320248.2014.962776,SF Chinese Food Security Module,true,true,"A Chinese‑language translation of the U.S. Household Food Security Survey Module, administered to 483 Chinese‑speaking adults.",Developed by the study authors (Lyles et al.),Food Security / Public Health
pub.1004806015,The San Francisco Chinese Food Security Module: Validation of a Translation of the US Household Food Security Survey Module,10.1080/19320248.2014.962776,American Community Survey (ACS),true,false,"An ongoing survey by the U.S. Census Bureau that provides detailed demographic, social, economic, and housing data.",U.S. Census Bureau,Demographics / Sociology
pub.1005169456,Latinos With Diabetes and Food Insecurity in an Agricultural Community,10.1097/mlr.0000000000000348,California Health Interview Survey,true,false,"State‑level health survey collecting data on health status, behaviors, and access to care.",California Department of Health Services,Public health
pub.1005169456,Latinos With Diabetes and Food Insecurity in an Agricultural Community,10.1097/mlr.0000000000000348,Electronic Diabetes Registry,true,true,"Internal database of patients with diabetes maintained by the health center, used to identify eligible participants.",Migrant health center system (California),Clinical / Health services research
pub.1005169456,Latinos With Diabetes and Food Insecurity in an Agricultural Community,10.1097/mlr.0000000000000348,Summary of Diabetes Self Care Activities (SCDA) questionnaire,true,true,A validated self‑report instrument assessing frequency of diabetes self‑management activities.,Diabetes research community (originally developed by Toobert et al.),Diabetes self‑management
