dataset_name,publication_year,publication_count
"Agricultural Resource Management Survey (ARMS)",2021,1
"Current Population Survey Food Security Supplement (CPS-FSS)",2015,8
"Current Population Survey Food Security Supplement (CPS-FSS)",2016,6
"Current Population Survey Food Security Supplement (CPS-FSS)",2017,7
"Current Population Survey Food Security Supplement (CPS-FSS)",2018,9
"Current Population Survey Food Security Supplement (CPS-FSS)",2019,9
"Current Population Survey Food Security Supplement (CPS-FSS)",2020,7
"Current Population Survey Food Security Supplement (CPS-FSS)",2021,7
"Current Population Survey Food Security Supplement (CPS-FSS)",2022,26
"Current Population Survey Food Security Supplement (CPS-FSS)",2023,18
"Current Population Survey Food Security Supplement (CPS-FSS)",2024,14
"Current Population Survey Food Security Supplement (CPS-FSS)",2025,7
"Farm to School Census",2019,1
"Food Access Research Atlas (FARA)",2015,3
"Food Access Research Atlas (FARA)",2016,2
"Food Access Research Atlas (FARA)",2017,3
"Food Access Research Atlas (FARA)",2018,3
"Food Access Research Atlas (FARA)",2019,2
"Food Access Research Atlas (FARA)",2020,3
"Food Access Research Atlas (FARA)",2021,3
"Food Access Research Atlas (FARA)",2022,13
"Food Access Research Atlas (FARA)",2023,11
"Food Access Research Atlas (FARA)",2024,17
"Food Access Research Atlas (FARA)",2025,4
"Food Acquisition and Purchase Survey (FoodAPS)",2015,1
"Food Acquisition and Purchase Survey (FoodAPS)",2016,1
"Food Acquisition and Purchase Survey (FoodAPS)",2017,4
"Food Acquisition and Purchase Survey (FoodAPS)",2018,4
"Food Acquisition and Purchase Survey (FoodAPS)",2019,2
"Food Acquisition and Purchase Survey (FoodAPS)",2020,4
"Food Acquisition and Purchase Survey (FoodAPS)",2021,5
"Food Acquisition and Purchase Survey (FoodAPS)",2022,6
"Food Acquisition and Purchase Survey (FoodAPS)",2023,5
"Food Acquisition and Purchase Survey (FoodAPS)",2024,5
"Food Acquisition and Purchase Survey (FoodAPS)",2025,3
"Household Food Security Survey Module (HFSSM)",2015,20
"Household Food Security Survey Module (HFSSM)",2016,27
"Household Food Security Survey Module (HFSSM)",2017,29
"Household Food Security Survey Module (HFSSM)",2018,50
"Household Food Security Survey Module (HFSSM)",2019,64
"Household Food Security Survey Module (HFSSM)",2020,50
"Household Food Security Survey Module (HFSSM)",2021,56
"Household Food Security Survey Module (HFSSM)",2022,91
"Household Food Security Survey Module (HFSSM)",2023,117
"Household Food Security Survey Module (HFSSM)",2024,117
"Household Food Security Survey Module (HFSSM)",2025,44
"Local Food Marketing Practices Survey",2018,1
"Local Food Marketing Practices Survey",2022,2
"Local Food Marketing Practices Survey",2023,1
"NASS Census of Agriculture",2015,1
"NASS Census of Agriculture",2017,3
"NASS Census of Agriculture",2018,4
"NASS Census of Agriculture",2019,3
"NASS Census of Agriculture",2020,3
"NASS Census of Agriculture",2021,3
"NASS Census of Agriculture",2022,6
"NASS Census of Agriculture",2023,7
"NASS Census of Agriculture",2024,6
"NASS Census of Agriculture",2025,3
"Rural-Urban Continuum Codes (RUCC)",2016,2
"Rural-Urban Continuum Codes (RUCC)",2018,1
"Rural-Urban Continuum Codes (RUCC)",2019,1
"Rural-Urban Continuum Codes (RUCC)",2020,1
"Rural-Urban Continuum Codes (RUCC)",2021,3
"Rural-Urban Continuum Codes (RUCC)",2022,4
"Rural-Urban Continuum Codes (RUCC)",2023,3
"Rural-Urban Continuum Codes (RUCC)",2024,3
"Rural-Urban Continuum Codes (RUCC)",2025,3
