dataset_id,dataset_name,group_name,aliases
32bc1d58-3287-4484-b1e7-8683fcca8ebd,"Tenure, Ownership, and Transition of Agricultural Land (TOTAL) Survey","Agricultural and Food Security Data","Tenure, ownership, and transition of agricultural land"
361359a1-bef3-4379-b1ad-b93032f8fc11,"Household Food Security Survey Module (HFSSM)","Agricultural and Food Security Data","Household Food Security Survey Module"
d7f39af9-347a-48c7-bf48-65f79328c668,"Quarterly Food-at-Home Price Database (QFAHPD)","Agricultural and Food Security Data","Qfahpd; Quarterly Food At Home Price Database"
6a1f754f-bb09-42ff-a485-9c00e9ebe27d,"NASS Census of Agriculture","Agricultural and Food Security Data","NASS Census of Agriculture; Census of Agriculture; USDA Census of Agriculture; Agricultural Census; USDA Census; AG Census"
9c8159cd-47f9-49f6-966e-1f996b977d63,"Food Acquisition and Purchase Survey (FoodAPS)","Agricultural and Food Security Data","food acquisition and purchase survey; FoodAPS"
2b53abaf-8d39-4a2c-ac04-980a106e3f59,"Agricultural Resource Management Survey (ARMS)","Agricultural and Food Security Data","Agricultural Resource Management Survey (ARMS); ARMS Farm Financial and Crop Production Practices; Agricultural Resource Management Survey; Agricultural Resources Management Survey; Farm Financial and Crop Production Practices (ERS); Farm Income and Financial Forecast (ERS); Farm Household Income and Characteristics (ERS); Farm Income and Wealth Statistics (ERS); Farm Production Expenditures (NASS); Agricultural Resource Management Study; Agricultural Resources Management Study"
0067f96d-1746-4f43-a880-1fdcf41d846b,"Local Food Marketing Practices Survey","Agricultural and Food Security Data","local food marketing practices survey; LFMPS"
8b4643af-1ecf-4745-93ba-7de3b62f0537,"Food Access Research Atlas (FARA)","Agricultural and Food Security Data","Food Access Research Atlas"
08eb979a-3db4-43ba-b12a-518254e2cba9,"Current Population Survey Food Security Supplement (CPS-FSS)","Agricultural and Food Security Data","Current Population Survey Food Security Supplement; Cps-fss"
73881bd0-9cc5-4fce-af16-93844d9e3d52,"Farm to School Census","Agricultural and Food Security Data","Farm to School Census"
7ba0229d-e906-4a6f-b0ac-a63290f5ee4a,"Information Resources, Inc. (IRI) InfoScan","Agricultural and Food Security Data","Information Resources, Inc. (IRI) InfoScan; Iri Infoscan"
3a646c8a-eab3-4951-80ac-831ba3a7b1a9,"Rural-Urban Continuum Codes (RUCC)","Agricultural and Food Security Data","RUCC; Rural-Urban Continuum Codes; www.ers.usda.gov/data-products/rural-urban-continuum-codes"
