publication_id,publication_title,publication_doi,validated_dataset_id,validated_dataset_name,confidence_score_mention,confidence_score_use,validation_reasoning
pub.1000422164,"Health-Related Quality of Life of Food-Insecure Ethnic Minority Patients With Cancer",10.1200/jop.2015.003962,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1001345478,"Severity of household food insecurity and lifetime racial discrimination among African-American households in South Carolina",10.1080/13557858.2016.1263286,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1003205614,"Material Hardship and Internal Locus of Control Over the Prevention of Child Obesity in Low-Income Hispanic Pregnant Women",10.1016/j.acap.2016.02.003,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1003394995,"Household food insecurity during childhood and adolescent misconduct",10.1016/j.ypmed.2016.12.042,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1003449352,"Effects of Group Prenatal Care on Food Insecurity during Late Pregnancy and Early Postpartum",10.1007/s10995-015-1886-8,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1004806015,"The San Francisco Chinese Food Security Module: Validation of a Translation of the US Household Food Security Survey Module",10.1080/19320248.2014.962776,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1004806015,"The San Francisco Chinese Food Security Module: Validation of a Translation of the US Household Food Security Survey Module",10.1080/19320248.2014.962776,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1005169456,"Latinos With Diabetes and Food Insecurity in an Agricultural Community",10.1097/mlr.0000000000000348,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1005169456,"Latinos With Diabetes and Food Insecurity in an Agricultural Community",10.1097/mlr.0000000000000348,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,1,""
pub.1005464936,"Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review",10.1016/j.amepre.2015.04.035,68751d343a311b28982701cc,"Food Acquisition and Purchase Survey (FoodAPS)",8,1,""
pub.1005464936,"Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review",10.1016/j.amepre.2015.04.035,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",9,1,""
pub.1006520773,"Food Insecurity Is Associated with Undernutrition but Not Overnutrition in Ecuadorian Women from Low‐Income Urban Neighborhoods",10.1155/2016/8149459,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1008908516,"Prevalence of Food Insecurity in Low-Income Neighborhoods in West Texas",10.1016/j.jneb.2016.07.003,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1010215109,"A Decade of Change: Measuring the Extent, Depth and Severity of Food Insecurity",10.1007/s10834-016-9500-9,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1010851647,"Evaluating the relationship between urban environment and food security in Georgia's older population",10.1016/j.apgeog.2014.10.013,68751d343a311b28982701cf,"Food Access Research Atlas (FARA)",10,10,""
