publication_id,publication_title,publication_doi,new_name,new_confidence_score_mention,new_confidence_score_use,new_description,new_source,new_domain
pub.1000422164,"Health-Related Quality of Life of Food-Insecure Ethnic Minority Patients With Cancer",10.1200/jop.2015.003962,"Household Food Security Survey Module (HFSSM)",9.5,9.5,"An 18‑item questionnaire developed by the U.S. Department of Agriculture to assess household food security status (food secure, low food security, very low food security).","U.S. Department of Agriculture (USDA)","Public health / Nutrition"
pub.1000422164,"Health-Related Quality of Life of Food-Insecure Ethnic Minority Patients With Cancer",10.1200/jop.2015.003962,"Functional Assessment of Cancer Therapy – General (FACT‑G)",9.5,9.5,"A 27‑item questionnaire that yields overall and subscale scores for physical, functional, social/family, and emotional well‑being in cancer patients.","Developed by Cella et al.; widely used in oncology research.","Oncology / Health‑related quality of life"
pub.1000422164,"Health-Related Quality of Life of Food-Insecure Ethnic Minority Patients With Cancer",10.1200/jop.2015.003962,"Cancer Portal Project cohort dataset",9,9,"A prospective longitudinal multisite cohort of underserved ethnic‑minority cancer patients recruited from ten safety‑net cancer clinics in New York City (2008–2013).","Cancer Portal Project (institutional consortium across multiple NYC hospitals/clinics)","Oncology / Health disparities"
pub.1001345478,"Severity of household food insecurity and lifetime racial discrimination among African-American households in South Carolina",10.1080/13557858.2016.1263286,"Household Food Security Survey Module",9,9,"A 12‑month recall questionnaire with 18 Likert‑type items used to assess household food security levels (low and very low).","U.S. Department of Agriculture (USDA)","Nutrition / Public Health"
pub.1001345478,"Severity of household food insecurity and lifetime racial discrimination among African-American households in South Carolina",10.1080/13557858.2016.1263286,"National Health and Nutrition Examination Survey",8,2,"A nationally representative survey of U.S. residents that collects health, nutrition, and demographic data.","U.S. National Center for Health Statistics (CDC)","Health / Nutrition"
pub.1001345478,"Severity of household food insecurity and lifetime racial discrimination among African-American households in South Carolina",10.1080/13557858.2016.1263286,"Perceived Ethnic Discrimination Questionnaire‑Community Version",9,9,"A 17‑item Likert‑type questionnaire measuring lifetime racial discrimination across several domains (exclusion/rejection, stigmatization/devaluation, workplace/school discrimination, threat/aggression).","Original instrument by Brondolo et al. (2005); modified for this study.","Social Psychology / Public Health"
pub.1002342222,"Household Food Insecurity Is Not Associated with Overall Diet Quality Among Pregnant Women in NHANES 1999–2008",10.1007/s10995-016-2058-1,"National Health and Nutrition Examination Survey",10,10,"A nationally representative, multistage survey administered by the National Center for Health Statistics that collects health, nutrition, and demographic information from a sample of the US civilian non‑institutionalized population.","National Center for Health Statistics (NCHS)","Public health / Nutrition epidemiology"
pub.1002342222,"Household Food Insecurity Is Not Associated with Overall Diet Quality Among Pregnant Women in NHANES 1999–2008",10.1007/s10995-016-2058-1,"USDA Standard Food Security Survey Module",8,2,"A standardized set of questions designed to assess household food security status, administered as part of surveys such as NHANES.","United States Department of Agriculture (USDA)","Food security assessment"
pub.1003394995,"Household food insecurity during childhood and adolescent misconduct",10.1016/j.ypmed.2016.12.042,"Household Food Security Survey Module (HFSSM)",9,9,"A nationally recognized questionnaire consisting of 18 items that assesses household food security status.","U.S. Department of Agriculture (USDA) Household Food Security Survey Module","Nutrition / Public Health"
pub.1003394995,"Household food insecurity during childhood and adolescent misconduct",10.1016/j.ypmed.2016.12.042,"Early Childhood Longitudinal Study – Kindergarten Class of 1998‑1999 (ECLS‑K)",9,9,"A nationally representative longitudinal survey of over 21,000 U.S. children tracked from kindergarten (1998‑1999) through eighth grade (2007).","National Center for Education Statistics (NCES)","Education / Child Development"
pub.1003851630,"Child Experience of Food Insecurity Is Associated with Child Diet and Physical Activity 1 , 2",10.3945/jn.114.194365,"USDA Food and Nutrient Database for Dietary Studies (FNDDS) version 3.0",9,9,"National USDA database that provides nutrient composition values for foods and beverages consumed in the United States; version 3.0 was used for coding.","U.S. Department of Agriculture (USDA)","Nutrition / Food composition"
pub.1003851630,"Child Experience of Food Insecurity Is Associated with Child Diet and Physical Activity 1 , 2",10.3945/jn.114.194365,"Network for a Healthy California-Children’s PowerPlay! campaign data",9,9,"Dataset comprising child self‑report food‑insecurity measures, 24‑hour dietary recalls, physical‑activity questionnaires, and demographic information collected as part of the PowerPlay! evaluation.","Network for a Healthy California-Children’s PowerPlay! campaign (public health initiative)","Public health / Child nutrition and physical activity"
pub.1003890690,"Hospitalization: Are We Missing an Opportunity to Identify Food Insecurity in Children?",10.1016/j.acap.2016.01.002,"National Health and Nutrition Examination Survey (NHANES)",9,9,"A nationally representative cross‑sectional survey of the civilian, non‑institutionalized U.S. population that collects health, nutrition, and demographic information via in‑home interviews and examinations.","National Center for Health Statistics (CDC)","Public health / Nutrition epidemiology"
pub.1003890690,"Hospitalization: Are We Missing an Opportunity to Identify Food Insecurity in Children?",10.1016/j.acap.2016.01.002,"USDA Food Security Survey Module",8,2,"A standardized questionnaire (18 items for households, 10 adult, 8 child) used to assess household food security status.","United States Department of Agriculture (USDA)","Nutrition / Food security assessment"
pub.1004806015,"The San Francisco Chinese Food Security Module: Validation of a Translation of the US Household Food Security Survey Module",10.1080/19320248.2014.962776,"Current Population Survey Food Security Supplement",9,8,"A nationally representative survey component of the Current Population Survey that measures household food security in the United States.","U.S. Census Bureau / USDA","Food security, public health"
pub.1004806015,"The San Francisco Chinese Food Security Module: Validation of a Translation of the US Household Food Security Survey Module",10.1080/19320248.2014.962776,"Household Food Security Survey Module",9,8,"The standard USDA questionnaire used nationwide to assess household food security status.","U.S. Department of Agriculture (USDA)","Food security, public health"
pub.1004839034,"Produce Intake is Lower in Food Insecure, Compared to Food Secure, Mothers of Young Children and Using Family Resource Centre Services on Prince Edward Island",10.1080/19320248.2015.1095148,"National Health and Nutrition Examination Survey (NHANES)",9,1,"A large, nationally representative survey of health and nutrition conducted by the U.S. CDC that includes interview, physical examination, and laboratory data.","U.S. Centers for Disease Control and Prevention (CDC)","Health/Nutrition epidemiology"
pub.1004839034,"Produce Intake is Lower in Food Insecure, Compared to Food Secure, Mothers of Young Children and Using Family Resource Centre Services on Prince Edward Island",10.1080/19320248.2015.1095148,"Statistics Canada 2013 PEI Data",8,2,"Aggregate provincial statistics on fruit and vegetable consumption reported by Statistics Canada for PEI in 2013.","Statistics Canada","Public health nutrition surveillance"
pub.1005169456,"Latinos With Diabetes and Food Insecurity in an Agricultural Community",10.1097/mlr.0000000000000348,"Household Food Security Survey Module (HFSSM)",9,9,"A USDA‑developed questionnaire assessing household food security status; short 6‑item version used in this study.","USDA Household Food Security Survey Module","Nutrition / Public Health"
pub.1005169456,"Latinos With Diabetes and Food Insecurity in an Agricultural Community",10.1097/mlr.0000000000000348,"National Health and Nutrition Examination Survey (NHANES)",8,2,"A large, nationally representative survey combining interviews and physical examinations.","U.S. Centers for Disease Control and Prevention (CDC)","Health / Nutrition"
pub.1005169456,"Latinos With Diabetes and Food Insecurity in an Agricultural Community",10.1097/mlr.0000000000000348,"Summary of Diabetes Self Care Activities (SCDA) questionnaire",8,8,"A validated survey instrument assessing diabetes self‑management activities.","","Diabetes / Self‑Management"
pub.1005169456,"Latinos With Diabetes and Food Insecurity in an Agricultural Community",10.1097/mlr.0000000000000348,"Electronic Diabetes Registry",7,8,"An internal database containing patient diabetes records used for sampling and outcome data extraction.","Health center’s electronic health record system","Clinical / Diabetes"
pub.1005169456,"Latinos With Diabetes and Food Insecurity in an Agricultural Community",10.1097/mlr.0000000000000348,"USDA 18‑item Food Security Module",6,2,"A longer version of the household food security questionnaire.","USDA","Nutrition / Food Security"
pub.1005464936,"Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review",10.1016/j.amepre.2015.04.035,"National Health and Nutrition Examination Survey",9,1,"A nationally representative health survey that includes dietary intake data.","U.S. Department of Health and Human Services","Health/Nutrition"
pub.1005464936,"Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review",10.1016/j.amepre.2015.04.035,"Food Acquisition and Purchase Survey",9,1,"A recent survey collecting detailed information on household food purchases.","U.S. Department of Agriculture","Food Economics/Nutrition"
pub.1005464936,"Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review",10.1016/j.amepre.2015.04.035,"Consumer Expenditure Survey",9,1,"Survey collecting data on household expenditures, including food spending.","","Economics/Consumer Spending"
pub.1005464936,"Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review",10.1016/j.amepre.2015.04.035,"Continuing Survey of Food Intake for Individuals",9,1,"A longitudinal survey tracking individual food intake over time.","","Nutrition"
