publication_id,publication_title,publication_doi,join_dataset1,join_dataset2,join_join_type,join_confidence_score,join_methodology,join_join_keys,join_context
pub.1001749726,"The State of Family Farms in the World",10.1016/j.worlddev.2015.05.012,"World Census of Agriculture (FAO agricultural census data)","HLPE smallholder holdings and land area data","integration",7.2,"The authors first extracted farm count data from the FAO World Census of Agriculture (WCA) for each country. For countries where the census provided disaggregated land‑area by farm size, those values were used directly. In cases where size‑disaggregation was missing, the authors applied the High Lev","[]","The authors combined the FAO‑derived census figures with the HLPE report’s estimates of farm size categories to calculate total agricultural land held by family farms, using the HLPE methodology (multiplying farm counts by mean size) where census data lacked disaggregation."
pub.1001749726,"The State of Family Farms in the World",10.1016/j.worlddev.2015.05.012,"FAO agricultural census data (World Census of Agriculture, 2000 round)","Lowder et al. (2014) farm ownership and landholding statistics","fusion",6.8,"The authors performed a fusion of two agricultural census datasets by first extracting the relevant variables (farm ownership status, landholding size, and family farm definitions) from each source. They applied an ETL pipeline: extraction of country‑level records, transformation using a stepwise cl","[""country_code"",""country_name""]","The study compares its own estimates of the proportion of agricultural land held by family farms with the findings from Lowder et al. (2014), which analyzed a subset of census data for 31 countries. The authors use both datasets to benchmark and validate their results."
pub.1003205614,"Material Hardship and Internal Locus of Control Over the Prevention of Child Obesity in Low-Income Hispanic Pregnant Women",10.1016/j.acap.2016.02.003,"US Department of Agriculture Core Food Security Module (USDA food security questionnaire)","Survey of Income and Program Participation (SIPP) questions on financial hardship","integration",8.7,"The researchers extracted responses from the USDA food security module and the SIPP financial hardship questions for each participant, performed data cleaning and validation, and merged the two datasets using a unique participant identifier present in both sources. An inner join was applied to retai","[""participant_id""]","The study combined responses from the USDA food security module to assess household food insecurity with SIPP-derived items measuring difficulty paying bills and housing disrepair, creating a composite set of material hardship variables for each participant."
pub.1003205614,"Material Hardship and Internal Locus of Control Over the Prevention of Child Obesity in Low-Income Hispanic Pregnant Women",10.1016/j.acap.2016.02.003,"Pregnancy Risk Assessment Monitoring System (PRAMS) questionnaire items on neighborhood stress","US Department of Agriculture Core Food Security Module and SIPP-derived hardship measures","fusion",7.5,"The researchers merged individual respondent records from the Pregnancy Risk Assessment Monitoring System (PRAMS) questionnaire with data from the USDA Core Food Security Module and SIPP-derived hardship measures. Each participant was identified by a unique survey identifier that was present in all ","[""participant_id""]","Neighborhood stress variables were obtained from PRAMS questions and were combined with the other material hardship indicators (food insecurity, bill payment difficulty, housing disrepair) to evaluate cumulative hardship effects on internal locus of control."
pub.1003205614,"Material Hardship and Internal Locus of Control Over the Prevention of Child Obesity in Low-Income Hispanic Pregnant Women",10.1016/j.acap.2016.02.003,"Medical record data (pre‑pregnancy BMI, height/weight)","Survey responses (material hardship variables, locus of control scores, depressive symptoms)","combination",6.8,"The study linked each participant’s medical record data (pre‑pregnancy BMI, height and weight) with their survey responses (material hardship variables, locus of control scores, depressive symptoms) by matching on a unique participant identifier collected at the prenatal visit. The combined dataset ","[""participant_id""]","Pre‑pregnancy body mass index calculated from medical records was incorporated as a covariate alongside survey-derived variables in multivariate regression models."
pub.1004806015,"The San Francisco Chinese Food Security Module: Validation of a Translation of the US Household Food Security Survey Module",10.1080/19320248.2014.962776,"San Francisco Chinese Food Security Module (survey data from 483 participants)","Current Population Survey (CPS) Food Security Supplement (nationally representative dataset, N = 35 317)","integration",8.7,"The authors performed a statistical integration rather than a record‑level merge. Item severity and discrimination parameters estimated from the San Francisco Chinese Food Security Module (derived via Rasch/item response theory on the 483 respondents) were compared with the corresponding parameters ","[]","The authors compared item severity parameters and discrimination statistics from their Chinese‑translated HFSSM to those derived from the CPS Food Security Supplement to assess comparability of the measure."
pub.1005169456,"Latinos With Diabetes and Food Insecurity in an Agricultural Community",10.1097/mlr.0000000000000348,"Cross‑sectional telephone survey of Latino patients","Medical chart data extracted from the health center’s electronic diabetes registry","integration",9,"Survey participants were identified from the health center’s electronic diabetes registry using a unique patient identifier (medical record number). Telephone survey responses were collected and then linked to each participant’s chart data by matching this identifier. The linkage was performed deter","[""patient_id""]","Survey responses were linked to each participant’s medical record (A1C, LDL‑c, BP, process‑of‑care indicators) for analysis of food insecurity and diabetes outcomes."
pub.1010851647,"Evaluating the relationship between urban environment and food security in Georgia's older population",10.1016/j.apgeog.2014.10.013,"Georgia Aging Information Management System (AIMS)","USDA Food Access Research Atlas (LILA food desert data)","integration",9,"The researchers first geocoded the individual client records from the Georgia Aging Information Management System (AIMS) using ESRI's World Geocode Service and manual verification with Google Maps to obtain latitude‑longitude coordinates for each address. Records lacking a valid match or falling out","[""latitude_longitude"",""census_tract_id""]","Geocoded AIMS client records were linked to USDA’s Food Access Research Atlas to assign each individual a binary indicator of residence in a low‑income, low‑access (LILA) food desert tract."
pub.1010851647,"Evaluating the relationship between urban environment and food security in Georgia's older population",10.1016/j.apgeog.2014.10.013,"Georgia Aging Information Management System (AIMS)","Historical urbanized area classifications derived from U.S. Census decennial datasets (1970, 1990, 2010)","fusion",8.5,"The researchers first extracted client address records from the Georgia Aging Information Management System (AIMS). These addresses were geocoded using ESRI World Geocode Service and manually matched via Google Maps for any unmatched cases, producing latitude‑longitude point coordinates for each cli","[""latitude_longitude_coordinates"",""urban_polygon_id""]","AIMS client locations were overlaid with GIS layers representing historic urban areas (core urban, post‑war suburb, recent suburb, urban cluster) created from census tract data to assign each client a categorical urban classification."
pub.1010851647,"Evaluating the relationship between urban environment and food security in Georgia's older population",10.1016/j.apgeog.2014.10.013,"Georgia Aging Information Management System (AIMS)","U.S. Census demographic data (population, race, poverty rates)","combination",7,"The researchers first extracted the client records from the Georgia Aging Information Management System (AIMS) and geocoded each address using ESRI's ArcGIS World Geocode Service, supplemented with manual Google Maps lookup for unmatched cases. After obtaining point locations for all clients, they p","[""geocoded_address_coordinates"",""census_tract_polygon_id""]","Demographic characteristics such as race, poverty status, and population percentages were derived from Census tables to contextualize the AIMS sample across urban classifications."
pub.1015925111,"Is Food Insecurity Associated with Depressive Symptoms in South Korea?",10.1111/aswp.12111,"Korea Welfare Panel Study (KOWEPS) – Wave 3 (2008)","Korea Welfare Panel Study (KOWEPS) – Wave 4 (2009)","integration",9,"The researchers linked the longitudinal panel data by matching each household head across wave 3 (2008) and wave 4 (2009). A unique panel identifier for each respondent served as the primary key. The join was performed using an exact match on this identifier, ensuring that predictor variables from w","[""panel_id"",""wave_year""]","The study linked predictors measured in wave 3 (food insecurity, income, material hardship, etc.) with the outcome variable depression measured in wave 4 to establish temporal order."
pub.1016667374,"Food insecurity and peripheral arterial disease in older adult populations",10.1007/s12603-015-0639-0,"National Health and Nutrition Examination Survey (NHANES) 1999‑2004","U.S. Household Food Security Survey Module (FSSM) from the U.S. Department of Agriculture (USDA)","integration",7.3,"The study merged the NHANES participant records with the USDA Household Food Security Survey Module responses that were collected during the same NHANES household interview. Both datasets share a common respondent identifier (SEQN) which uniquely links each individual’s demographic, clinical, and ex","[""SEQN""]","The study merged NHANES participant data with responses to the USDA‑validated 18‑item food security questionnaire (the FSSM) that is administered as part of the NHANES household interview component."
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"TIGERLine census block group shapefile","American FactFinder socioeconomic spreadsheets (poverty, education, employment, etc.)","join",9,"The researchers downloaded the TIGERLine shapefile containing census block group polygons and extracted socioeconomic variables from American FactFinder spreadsheets. Each spreadsheet included a standard Census Block Group identifier (GEOID) which served as the join key. Using GIS software, the bloc","[""GEOID""]","All socioeconomic variables were imported from American FactFinder and joined to each census block group polygon in GIS to calculate rates per block group."
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"Virginia Department of Education school zone shapefile","Student eligibility rates for the National School Lunch Program (Excel spreadsheet)","join",8.5,"The researchers first downloaded the school zone shapefile and the student eligibility rates spreadsheet from the Virginia Department of Education. They cleaned the Excel data, ensuring consistent formatting of school identifiers. Using a GIS environment (likely ArcGIS or QGIS), they performed an at","[""school_id"",""elementary_zone_id""]","Eligibility rates were joined to the school zone polygons, then elementary school zones were exported and intersected with block groups."
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"Block group shapefile (census block groups)","Park polygons shapefile (Virginia Department of Conservation and Recreation)","intersection",8,"The researchers used a geographic information system (GIS) to perform a spatial intersection between the polygon layer of city parks and the polygon layer of census block groups. Each park polygon was overlaid on the block group polygons, and any block group that shared any area with a park was flag","[]","Parks were intersected with block groups to determine presence/absence of parks within each block group."
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"Block group shapefile","Community garden and urban farm polygons (identified via on‑site visits)","intersection",8,"The researchers performed a spatial intersection (geographic join) using GIS software. First, the block group shapefile was loaded as polygon features representing census block groups. The community garden and urban farm polygons, derived from on‑site visits, were also loaded as separate polygon lay","[]","Community gardens and urban farms were intersected with block groups to flag presence of these greenspaces."
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"Block group shapefile","Retail food store polygons (created from internet addresses, verified via parcel shapefile and Google Earth)","spatial overlay / fusion",7,"The researchers first created polygon shapefiles for retail food stores by geocoding address data and verifying locations with parcel shapefiles and Google Earth imagery. Separate shapefiles were also prepared for census block groups, parks, community gardens, urban farms, and school zones. All laye","[""block_group_id"",""geocode_address"",""parcel_id""]","Retail food locations were geocoded into polygon/shapefiles and later used to assess food availability within a half‑mile buffer around identified food desert areas, implicitly linked to block groups for scoring."
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"NASS Census of Agriculture","Agricultural Resource Management Survey (ARMS)","integration",6.5,"The study used a geographic information system (GIS) workflow to integrate multiple datasets at the census block group level. Block group boundaries were obtained as a shapefile from the TIGER/Line database and served as the primary spatial unit. Socioeconomic variables (poverty, employment, educati","[""GEOID"",""block_group_id""]","The publication lists both NASS and ARMS as known datasets; although the text does not detail a specific join, they are likely combined to provide agricultural land use information for urban agriculture planning."
